IP Origen: 192.168.1.110, IP Destino: 92.223.20.11, Puerto Origen: 50123, Puerto Destino: 80, Tamaño: 54, Info: 1711995703.886012000
IP Origen: 192.168.1.110, IP Destino: 92.223.20.11, Puerto Origen: 50123, Puerto Destino: 80, Tamaño: 54, Info: 1711995703.886423000
IP Origen: 92.223.20.11, IP Destino: 192.168.1.110, Puerto Origen: 80, Puerto Destino: 50123, Tamaño: 54, Info: 1711995703.931918000
IP Origen: 192.168.1.110, IP Destino: 140.82.114.21, Puerto Origen: 50100, Puerto Destino: 443, Tamaño: 55, Info: 1711995704.266713000
IP Origen: 140.82.114.21, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50100, Tamaño: 66, Info: 1711995704.379786000
IP Origen: 192.168.1.110, IP Destino: 162.159.130.235, Puerto Origen: 49750, Puerto Destino: 443, Tamaño: 140, Info: 1711995704.407488000
IP Origen: 162.159.130.235, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 49750, Tamaño: 60, Info: 1711995704.422685000
IP Origen: 192.168.1.110, IP Destino: 40.99.201.242, Puerto Origen: 50116, Puerto Destino: 443, Tamaño: 55, Info: 1711995704.438156000
IP Origen: 40.99.201.242, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50116, Tamaño: 66, Info: 1711995704.469057000
IP Origen: 192.168.1.110, IP Destino: 40.126.49.152, Puerto Origen: 50118, Puerto Destino: 443, Tamaño: 55, Info: 1711995705.253626000
IP Origen: 40.126.49.152, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50118, Tamaño: 66, Info: 1711995705.279783000
IP Origen: 192.168.1.110, IP Destino: 140.82.114.21, Puerto Origen: 50100, Puerto Destino: 443, Tamaño: 55, Info: 1711995705.390566000
IP Origen: 140.82.114.21, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50100, Tamaño: 66, Info: 1711995705.506030000
IP Origen: 192.168.1.110, IP Destino: 162.159.130.235, Puerto Origen: 49750, Puerto Destino: 443, Tamaño: 140, Info: 1711995705.519526000
IP Origen: 162.159.130.235, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 49750, Tamaño: 54, Info: 1711995705.529098000
IP Origen: 192.168.1.110, IP Destino: 162.159.130.235, Puerto Origen: 49750, Puerto Destino: 443, Tamaño: 140, Info: 1711995706.009088000
IP Origen: 162.159.130.235, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 49750, Tamaño: 60, Info: 1711995706.018304000
IP Origen: 192.168.1.110, IP Destino: 172.217.17.14, Puerto Origen: 50113, Puerto Destino: 443, Tamaño: 54, Info: 1711995706.428778000
IP Origen: 192.168.1.110, IP Destino: 150.214.141.131, Puerto Origen: 50147, Puerto Destino: 443, Tamaño: 62, Info: 1711995706.429274000
IP Origen: 172.217.17.14, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50113, Tamaño: 54, Info: 1711995706.443627000
IP Origen: 192.168.1.110, IP Destino: 172.217.17.14, Puerto Origen: 50113, Puerto Destino: 443, Tamaño: 54, Info: 1711995706.443675000
IP Origen: 150.214.141.131, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50147, Tamaño: 62, Info: 1711995706.454661000
IP Origen: 192.168.1.110, IP Destino: 150.214.141.131, Puerto Origen: 50147, Puerto Destino: 443, Tamaño: 54, Info: 1711995706.454759000
IP Origen: 192.168.1.110, IP Destino: 150.214.141.131, Puerto Origen: 50147, Puerto Destino: 443, Tamaño: 1817, Info: 1711995706.455521000
IP Origen: 150.214.141.131, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50147, Tamaño: 54, Info: 1711995706.480067000
IP Origen: 150.214.141.131, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50147, Tamaño: 54, Info: 1711995706.480375000
